pop	subspecies	julian_date	indiv	sexM1F2	weight	total_length 	tail_length
DCB	zuniensis	161	DCB05	1	260	25.5	4.5
DCB	zuniensis	161	DCB06	1	430	29.5	6
DCB	zuniensis	161	DCB07	1	700	37	7.5
DCB	zuniensis	161	DCB09	1	865	35.5	7
DCB	zuniensis	162	DCB10	1	140	26.5	4.5
DCB	zuniensis	163	DCB18	1	340	25	5
DCB	zuniensis	163	DCB19	1	310	28.5	6
DCB	zuniensis	163	DCB21	1	190	23	4.5
DGO	zuniensis	202	DGO03	1	1050	32	6.5
DGO	zuniensis	202	DGO06	1	1220	33	5.5
DGO	zuniensis	202	DGO10	1	1330	33.5	5
DGO	zuniensis	202	DGO11	1	500	25.5	6.5
DGO	zuniensis	202	DGO13	1	1220	31.5	6.5
DGO	zuniensis	203	DGO14	1	510	26.5	6
DGO	zuniensis	203	DGO15	1	490	24	6.5
DUTS	zuniensis	220	DUTS03	1	690	35.5	6
DUTS	zuniensis	220	DUTS04	1	1150	39	7
DUTS	zuniensis	220	DUTS08	1	570	34	6.5
DUTS	zuniensis	220	DUTS09	1	710	36.5	7
DUTS	zuniensis	220	DUTS11	1	1110	38.5	7.5
DUTS	zuniensis	220	DUTS15	1	650	35	7
DUTS	zuniensis	220	DUTS16	1	620	35	7
DUTS	zuniensis	221	DUTS17	1	1170	40	7
DUTS	zuniensis	221	DUTS19	1	700	36	7
DUTS	zuniensis	223	DUTS22	1	1440	41	8
DUTS	zuniensis	223	DUTS23	1	1170	37.5	7
DUTS	zuniensis	223	DUTS24	1	670	36.5	7.5
DUTS	zuniensis	223	DUTS25	1	570	32	7
ELMA	zuniensis	180	ELMA01	1	305	25.4	5.7
ELMA	zuniensis	180	ELMA04	1	930	37.3	7.2
ELMA	zuniensis	182	ELMA11	1	345	30.2	6.9
ELMA	zuniensis	183	ELMA14	1	840	36.6	7.7
ELMA	zuniensis	183	ELMA15	1	860	34.7	7.2
ELMA	zuniensis	184	ELMA22	1	335	28.4	6.9
ELMA	zuniensis	184	ELMA24	1	380	28.5	6.8
ESPE	zuniensis	244	ESPE63-29	1	750		
ESPE	zuniensis	243	ESPE64-19	1	700		
ESPE	zuniensis	244	ESPE65-20	1	550		
ESPE	zuniensis	244	ESPE66-23	1	1100		
ESPE	zuniensis	244	ESPE67-24	1	1000		
ESPE	zuniensis	244	ESPE68-33	1	1175		
ESPE	zuniensis	241	ESPE71-17	1	700		
ESPE	zuniensis	247	ESPE74-35	1	500		
ESPE	zuniensis	241	ESPE77-1	1	750		
ESPE	zuniensis	241	ESPE79-16	1	650		
ESPE	zuniensis	237	ESPE82-3	1	925		
ESPE	zuniensis	247	ESPE83-36	1	600		
ESPE	zuniensis	237	ESPE86-6	1	600		
ESPE	zuniensis	244	ESPE87-25	1	700		
ESPE	zuniensis	241	ESPE88-81	1	450		
ESPE	zuniensis	241	ESPE127-14	1	575		
FUEN	zuniensis	201	FUEN01	1	890	38	8
FUEN	zuniensis	201	FUEN03	1	280	25.5	5.5
FUEN	zuniensis	201	FUEN05	1	910	39	7.5
FUEN	zuniensis	201	FUEN06	1	270	25	4.5
FUEN	zuniensis	203	FUEN09	1	890	36	7
FUEN	zuniensis	203	FUEN10	1	1010	39	9
FUEN	zuniensis	203	FUEN18	1	350	29	5.5
HLSP	zuniensis	180	HLSP03	1	730	37	7
HMSW	zuniensis	196	HMSW01	1	1249	39	6.8
HMSW	zuniensis	196	HMSW02	1	839	35.6	6.1
HMSW	zuniensis	198	HMSW04	1	1089	36	5.5
HMSW	zuniensis	199	HMSW07	1	929	34.1	5.8
HMSW	zuniensis	199	HMSW09	1	369	31	6
HOVE	zuniensis	165	HOVE01	1	513	32.3	6.6
HOVE	zuniensis	165	HOVE05	1	838	37.1	6.3
HOVE	zuniensis	165	HOVE06	1	1035	37.5	8
HOVE	zuniensis	166	HOVE09	1	985	37.3	7.7
HOVE	zuniensis	166	HOVE10	1	420	29.2	6
HOVE	zuniensis	166	HOVE11	1	345	27.4	5.3
HOVE	zuniensis	169	HOVE17	1	465	32.6	7.5
HOVE	zuniensis	169	HOVE18	1	1000	37.6	8
HOVE	zuniensis	169	HOVE19	1	370	29.3	5.4
HOVE	zuniensis	170	HOVE20	1	400	31	7.9
HUTR	zuniensis	143	HUTR02	1	1035	38	5.5
HUTR	zuniensis	143	HUTR04	1	985	40	7.5
HUTR	zuniensis	143	HUTR05	1	985	35.5	6
HUTR	zuniensis	144	HUTR08	1	870	36	3.5
HUTR	zuniensis	144	HUTR10	1	900	37	7.5
HUTR	zuniensis	144	HUTR11	1	1150	38.5	4.5
HUTR	zuniensis	146	HUTR15	1	1115	37.5	6
HUTR	zuniensis	148	HUTR24	1	870	37	7
NFF	zuniensis	191	NFF02	1	465	31.9	7.7
SAND	zuniensis	234	SAND01	1	615	36.1	9.2
SFNF	zuniensis	165	SFNF01	1	855	38	7
SFNF	zuniensis	165	SFNF02	1	920	38	7.5
SFNF	zuniensis	168	SFNF09	1	950	37	7
SFNF	zuniensis	168	SFNF10	1	840	36.5	6.5
SFNF	zuniensis	168	SFNF11	1	955	37.5	8
SSLM	zuniensis	159	SSLM01	1	930	38	7.5
SYWS	zuniensis	207	SYWS02	1	1060	37.5	6.5
SYWS	zuniensis	207	SYWS03	1	535	33.5	7
SYWS	zuniensis	207	SYWS04	1	660	35	7
SYWS	zuniensis	207	SYWS08	1	550	32.5	6.5
SYWS	zuniensis	207	SYWS10	1	1010	36	6.5
SYWS	zuniensis	208	SYWS14	1	455	31.5	6
SYWS	zuniensis	210	SYWS16	1	550	33.5	7
SYWS	zuniensis	210	SYWS17	1	580	35	7
SYWS	zuniensis	215	SYWS21	1	560	32	6
SYWS	zuniensis	215	SYWS22	1	570	34	7
SYWS	zuniensis	215	SYWS23	1	540	34	7
VADO	zuniensis	179	VADO03	1	750	35	6.5
VADO	zuniensis	179	VADO20	1	830	38	7
VADO	zuniensis	179	VADO21	1	630	35	6.5
VADO	zuniensis	179	VADO22	1	880	38	7
VADO	zuniensis	180	VADO24	1	810	39	6
VADO	zuniensis	180	VADO25	1	830	37.5	6
VCNP	zuniensis	201	VCNP06	1	535	33.6	6.7
VCNP	zuniensis	201	VCNP08	1	490	32.5	8.1
VCNP	zuniensis	201	VCNP09	1	1195	39.2	8.1
VCNP	zuniensis	201	VCNP11	1	525	32.2	6
VCNP	zuniensis	203	VCNP13	1	405	30	7.2
VCNP	zuniensis	203	VCNP14	1	375	30.5	6.4
VCNP	zuniensis	203	VCNP21	1	490	33	6.9
VCNP	zuniensis	203	VCNP22	1	545	34.4	7.8
VCNP	zuniensis	203	VCNP24	1	515	32.7	7
